marketID,name,RIC,exchange,timeZone,DST,liquidityOpenTime,liquidityCloseTime,size,pointValue,tickSize,unitValue,firstTradeDate
30,SP,ES,CME,America/Chicago,1,8:30,15:15,50,50,0.25,1,1/3/2000
31,NQ,NQ,CME,America/Chicago,1,8:30,15:15,20,20,0.25,1,1/3/2000
33,DJ,YM,CBOT,America/Chicago,1,8:30,15:15,5,5,1,1,4/2/2002
32,RS,TFS,ICEUS,America/New_York,1,9:30,16:15,50,50,0.1,1,4/20/2008
36,VX,VX,CBOE,America/Chicago,1,8:30,15:18,1000,1000,0.05,1,3/26/2004
50,NK,JNI,OSE,Asia/Tokyo,0,9:00,15:15,1000,1000,10,1,1/4/2000
52,KOS,KS,KFE,Asia/Seoul,0,9:00,15:15,500000,500000,0.05,1,1/3/2000
54,HS,HSI,HKG,Asia/Hong_Kong,0,9:15,16:15,50,50,1,1,1/3/2000
55,HCI,HCEI,HKG,Asia/Hong_Kong,0,9:15,16:15,50,50,1,1,12/8/2003
56,A50,SFC,SGX,Asia/Singapore,0,9:00,16:00,1,1,2.5,1,4/26/2013
57,NI,SSI,SGX,Asia/Singapore,0,7:45,14:30,500,500,5,1,1/4/2000
58,NI,SIN,SGX,Asia/Singapore,0,9:00,18:15,2,2,0.5,1,9/25/2000
53,ASP,YAP,SFE,Australia/Sydney,1,9:50,16:30,25,25,1,1,5/2/2000
40,STX,STXE,EUREX,Europe/Berlin,1,9:00,17:45,10,10,1,1,1/3/2000
41,DAX,FDX,EUREX,Europe/Berlin,1,9:00,17:45,25,25,0.5,1,1/3/2000
42,FTS,FFI,ICE,Europe/London,1,8:00,16:45,10,10,0.5,1,1/3/2000
43,CAC,FCE,EuNxt,Europe/Amsterdam,1,9:00,17:45,10,10,0.5,1,1/3/2000
95,GLD,GC,COMEX,America/New_York,1,8:20,13:30,100,100,0.1,1,1/4/2000
96,SLV,SI,COMEX,America/New_York,1,8:20,13:25,5000,5000,0.005,1,1/4/2000
97,COP,HG,COMEX,America/New_York,1,8:10,13:00,25000,250,0.05,0.01,1/4/2000
90,CL,CL,NYMEX,America/New_York,1,9:00,14:30,1000,1000,0.01,1,1/4/2000
92,HO,HO,NYMEX,America/New_York,1,9:00,14:30,42000,420,0.01,0.01,1/4/2000
91,NG,NG,NYMEX,America/New_York,1,9:00,14:30,10000,10000,0.001,1,1/4/2000
93,RBO,RB,NYMEX,America/New_York,1,9:00,14:30,42000,420,0.01,0.01,10/3/2005
94,BNT,LCO,ICE,Europe/London,1,7:00,20:00,1000,1000,0.01,1,1/4/2000
120,C,C,CBOT,America/Chicago,1,8:30,13:20,5000,50,0.25,0.01,1/3/2000
122,S,S,CBOT,America/Chicago,1,8:30,13:20,5000,50,0.25,0.01,1/3/2000
123,SM,SM,CBOT,America/Chicago,1,8:30,13:20,100,100,0.1,1,1/3/2000
121,W,W,CBOT,America/Chicago,1,8:30,13:20,5000,50,0.25,0.01,1/3/2000
61,US,US,CBOT,America/Chicago,1,7:20,14:00,100000,1000,0.03125,0.01,1/3/2000
60,TY,TY,CBOT,America/Chicago,1,7:20,14:00,100000,1000,0.015625,0.01,1/3/2000
62,FY,FV,CBOT,America/Chicago,1,7:20,14:00,100000,1000,0.0078125,0.01,1/3/2000
63,TU,TU,CBOT,America/Chicago,1,7:20,14:00,200000,2000,0.0078125,0.01,1/3/2000
64,ED,ED,CME,America/Chicago,1,5:45,16:00,1000000,10000,0.005,0.01,1/3/2000
70,BUN,FGBL,EUREX,Europe/Berlin,1,9:00,17:45,100000,1000,0.01,0.01,1/3/2000
71,BOB,FGBM,EUREX,Europe/Berlin,1,9:00,17:45,100000,1000,0.01,0.01,1/3/2000
72,SCH,FGBS,EUREX,Europe/Berlin,1,9:00,17:45,100000,1000,0.005,0.01,1/3/2000
73,GIL,FLG,ICE,Europe/London,1,8:00,18:00,100000,1000,0.01,0.01,1/2/2000
75,JGB,JGB,OSE,Asia/Tokyo,0,8:45,15:02,100000000,1000000,0.01,0.01,1/2/2000
3,CD,CD,CME,America/Chicago,1,17:00,16:00,100000,1000,0.01,0.01,1/2/2000
15,SF,SF,CME,America/Chicago,1,17:00,16:00,125000,1250,0.01,0.01,1/2/2000
11,EC,URO,CME,America/Chicago,1,17:00,16:00,125000,125000,0.0001,1,1/2/2000
13,BP,BP,CME,America/Chicago,1,17:00,16:00,62500,625,0.01,0.01,1/2/2000
21,JY,JY,CME,America/Chicago,1,17:00,16:00,125000,1250,0.005,0.01,1/2/2000
23,AD,AD,CME,America/Chicago,1,17:00,16:00,100000,1000,0.01,0.01,1/2/2000